"","WDPA_PID","BIOME","IUCN_CAT","IUCN_GROUP","GIS_AREA","PA_Area","BUFF_Area","CONTINENT","LAT","LONG","PA_FPAR_COUNT","PA_FPAR_MEAN","BUFF_FPAR_MEAN","PA_DUR_COUNT","PA_DUR_MEAN","BUFF_DUR_MEAN","PA_IGN_COUNT","PA_IGN_MEAN","BUFF_IGN_MEAN","PA_HFP_COUNT","PA_HFP_MEAN","BUFF_HFP_MEAN","PA_NAT_AREA_COUNT","PA_NAT_AREA","BUFF_NAT_AREA","PA_HET_COUNT","PA_HET","BUFF_HET","PA_BA_COUNT","PA_BA","BUFF_BA"
"2772","1409",1,"Ia","A",1252.198207,1.252e+09,3609999872,"AS",7.237991,99.93369,1461,-23.6262833675565,134.629431540342,2,0,-1.71428571428571,2,0,-0.142857142857143,1255,-0.364940259941071,4.89206573910335,16171,94000128,25000064,13194,0,0,NA,NA,NA
"2773","140900",NA,NA,NA,NA,NA,2.72e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2774","140903",4,"IV","A",0.078451519,NA,8e+06,"EU",51.01061,-3.183563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA
"2775","140905",4,"IV","A",0.028200443,NA,NA,"EU",54.52664,-2.284311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA
"2776","140909",4,"IV","A",0.105192351,NA,NA,"EU",50.97694,0.3581977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2777","140916",4,"IV","A",0.154033981,NA,1.86e+08,"EU",51.01336,-3.580174,1,18,107.745730027548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2778","140924",NA,NA,NA,NA,NA,1.07e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2779","140927",4,"IV","A",0.056793602,NA,NA,"EU",54.64975,-2.156699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA
"2780","140928",4,"IV","A",0.242159346,NA,NA,"EU",54.62584,-2.108763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,NA,NA,NA
"2781","140933",NA,NA,NA,NA,NA,1.17e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2782","140934",4,"IV","A",9.789463993,7e+06,1.67e+08,"EU",52.04736,1.342385,14,186.285714285714,362.245358090186,NA,NA,NA,NA,NA,NA,8,-3.50000011920929,-0.667608821776171,NA,NA,NA,50,1,0,NA,NA,NA
